Temperature (K),Applied field (T),Applied field angle (°),𝘯-value
19.98,1,102,20.72
19.99,1,105,20.5
19.99,1,110,19.78
19.99,1,115,19.32
19.99,1,120,19.53
20,1,125,19.61
19.99,1,130,19.98
19.99,1,135,20.37
19.99,1,140,20.2
19.99,1,145,20.23
19.99,1,150,20.83
19.99,1,155,20.04
19.99,1,160,20.89
20,1,165,21.11
19.99,1,170,21.22
19.99,1,175,21.8
19.99,1,180,21.95
20,1,185,21.13
19.99,1,190,21.69
19.99,1,195,21.14
19.99,1,200,21.37
19.99,1,205,21.5
20,1,210,21.35
19.99,1,215,20.34
20,1,220,20.46
19.99,1,225,20.42
20,1,230,20.07
20,1,235,19.87
19.99,1,240,20.37
19.99,1.5,0,21.57
19.99,1.5,5,21.68
19.99,1.5,10,21.44
20,1.5,15,20.87
20,1.5,20,21.23
20,1.5,25,21.17
20,1.5,30,20.44
19.99,1.5,35,21.46
19.99,1.5,40,20.48
20,1.5,45,20.06
20,1.5,50,18.95
19.99,1.5,55,17.96
19.99,1.5,60,19.31
19.99,1.5,65,18.27
20,1.5,70,18.52
19.99,1.5,75,18.3
19.99,1.5,78,19.42
19.98,1.5,81,20.93
19.98,1.5,84,22.52
19.99,1.5,86,23.12
19.98,1.5,88,23.84
19.98,1.5,90,23.25
19.98,1.5,92,23.74
19.98,1.5,94,21.68
19.98,1.5,96,21.05
19.98,1.5,99,19.89
19.99,1.5,102,18.95
19.99,1.5,105,18
19.99,1.5,110,18.15
20,1.5,115,18.32
19.99,1.5,120,18.08
19.99,1.5,125,18.59
20,1.5,130,18.94
20,1.5,135,19.34
20,1.5,140,19.21
20,1.5,145,20.32
20,1.5,150,19.62
20,1.5,155,20.44
19.99,1.5,160,20.81
20,1.5,165,20.92
20,1.5,170,21.69
19.99,1.5,175,21.29
20,1.5,180,22.54
19.99,1.5,185,22.49
20,1.5,190,22.41
20,1.5,195,19.95
20,1.5,200,22.51
19.99,1.5,205,21.07
20,1.5,210,21.67
20,1.5,215,19.2
20,1.5,220,20.22
20,1.5,225,19.69
19.99,1.5,230,19.9
20,1.5,235,19.27
19.99,1.5,240,19.2
19.99,2,0,21.32
20,2,5,21.84
19.99,2,10,21.3
19.99,2,15,21.36
20,2,20,20.57
20,2,25,20.77
20,2,30,20.86
20,2,35,19.87
19.99,2,40,20.13
20,2,45,19.44
19.99,2,50,18.78
20,2,55,17.94
20,2,60,18.89
20,2,65,17.81
19.99,2,70,17.37
19.99,2,75,17.45
19.99,2,78,17.66
20,2,81,18.8
19.98,2,84,20.72
19.99,2,86,22.21
19.98,2,88,23.13
19.98,2,90,22.78
19.98,2,92,23.32
19.98,2,94,21.52
19.98,2,96,19.47
19.98,2,99,18.35
19.99,2,102,17.77
19.99,2,105,17.24
19.99,2,110,17.22
20,2,115,17.62
20,2,120,17.66
19.99,2,125,18.28
19.99,2,130,18.81
19.99,2,135,18.94
20,2,140,19.13
20,2,145,19.77
20,2,150,19.74
20,2,155,19.71
20,2,160,20.25
20,2,165,22.39
19.99,2,170,21.18
20,2,175,21.32
19.99,2,180,20.74
20,2,185,21.07
20,2,190,23.84
20,2,195,22.01
20,2,200,21.28
19.99,2,205,21.44
20,2,210,20.45
19.99,2,215,18.7
19.99,2,220,20.12
20,2,225,19.99
20,2,230,19.69
20,2,235,18.52
20,2,240,18.23
19.99,3,0,21.37
20,3,5,21.8
19.99,3,10,21.29
19.99,3,15,22.04
20,3,20,20.24
20,3,25,21.29
20,3,30,19.54
20,3,35,18.82
19.99,3,40,18.66
19.99,3,45,17.83
20,3,50,17.68
19.99,3,55,17.66
20,3,60,17.19
20,3,65,16.34
20,3,70,15.97
20,3,75,16.14
19.99,3,78,16.15
19.99,3,81,16.25
19.99,3,84,18.22
19.99,3,86,20.01
19.99,3,88,22.49
19.99,3,90,23.23
19.99,3,92,21.51
19.99,3,94,19.88
19.99,3,96,17.67
19.99,3,99,16.29
20,3,102,16.56
20,3,105,16.32
20,3,110,15.62
20,3,115,16.37
20,3,120,16.78
20,3,125,17.42
20.01,3,130,17.91
20,3,135,18.06
20,3,140,18.4
19.99,3,145,18.87
20,3,150,19.12
20,3,155,19.76
20,3,160,20.64
20,3,165,20.69
20,3,170,20.74
20,3,175,20.87
20,3,180,22.01
20,3,185,21.62
20,3,190,21.72
19.99,3,195,22.21
20,3,200,21.02
20,3,205,20.61
19.99,3,210,19.41
20,3,215,18.12
20,3,220,19.24
20,3,225,18.98
19.99,3,230,18.78
19.99,3,235,17.38
20,3,240,17.5
19.99,5,0,20.45
19.99,5,5,21.88
20,5,10,21.36
20,5,15,22.17
20,5,20,19.41
20,5,25,20.31
20,5,30,22.03
20,5,35,20.28
20,5,40,17.98
20,5,45,19.23
19.99,5,50,18.18
20,5,55,17.93
20,5,60,17.21
20,5,65,15.38
20,5,70,15.25
20,5,75,14.84
20,5,78,14.22
20,5,81,14.89
19.99,5,84,15.08
20,5,86,16.66
19.98,5,88,20.67
19.99,5,90,22.03
19.99,5,92,20.92
19.99,5,94,16.24
19.99,5,96,14.63
19.99,5,99,15.24
20,5,102,14.44
20,5,105,15.46
20,5,110,14.85
20,5,115,15.71
20,5,120,18.17
20,5,125,16.46
20,5,130,17.2
20,5,135,18.83
19.99,5,140,18.56
20,5,145,19.51
19.99,5,150,20.38
20,5,155,19.63
19.99,5,160,22.38
20,5,165,20.64
20,5,170,20.65
20,5,175,20.3
19.99,5,180,20.52
19.99,5,185,21.53
19.99,5,190,22.6
20,5,195,19.91
20,5,200,20.87
20,5,205,19.84
20,5,210,19.87
20,5,215,18.59
20,5,220,16.74
20,5,225,18.16
20,5,230,16.81
20,5,235,16.4
20,5,240,15.98
20,7,0,22.36
19.99,7,5,22.8
20,7,10,20.08
20,7,15,20.16
20,7,20,20.93
20,7,25,20.35
20,7,30,20.56
20,7,35,19.88
20,7,40,19.84
20,7,45,19.62
19.99,7,50,17.29
19.99,7,55,17.21
20,7,60,15.78
20,7,65,16.2
20,7,70,14.71
19.99,7,75,13.26
19.99,7,78,13.49
20,7,81,13.56
19.99,7,84,13.99
20,7,86,15.14
19.99,7,88,17.07
19.98,7,90,22.4
19.98,7,92,20
20,7,94,16.38
19.99,7,96,13.99
20,7,99,13.62
20,7,102,14.24
20,7,105,13.91
19.99,7,110,13.35
20,7,115,17.01
19.99,7,120,17.93
19.99,7,125,17.64
20,7,130,18.65
20,7,135,19.07
19.99,7,140,19.85
20,7,145,18.92
19.99,7,150,19.23
20,7,155,20.96
19.99,7,160,21.06
20,7,165,21.07
20,7,170,22.53
20,7,175,20.01
19.99,7,180,22.31
20,7,185,19.09
20,7,190,18.02
20,7,195,21.4
20,7,200,21.16
20,7,205,21.06
20,7,210,20
20,7,215,18.46
19.99,7,220,20.05
20,7,225,19.74
19.99,7,230,17.83
20,7,235,18.16
20,7,240,18
19.99,8,0,20.24
19.99,8,5,22.8
20,8,10,22.09
19.99,8,15,20.72
20,8,20,21.77
20,8,25,20.58
20,8,30,19.95
20,8,35,21.74
20,8,40,17.36
20,8,45,19.37
20,8,50,19.57
20,8,55,18.24
20,8,60,16.64
20,8,65,14.91
20,8,70,15
20,8,75,12.62
20,8,78,13.08
19.99,8,81,13.25
20,8,84,13.43
20,8,86,14.26
19.99,8,88,16.07
20.01,8,90,22.72
19.99,8,92,19.49
